,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What role does the Russian mafia play in John Wick's story?,"["": 20\nReview: After resolving his issues with the Russian mafia, John Wick (Keanu Reeves) returns home. But soon the mobster Santino D'Antonio (Riccardo Scamarcio) visits him to show Wick's marker and tells that he needs to help. John Wicks refuses since he is retired and Santino blows-up his house. John Wick meets the owner of the Continental hotel in New York City, Winston (Ian McShane), and he tells that Wick cannot violate the Mafia rules and shall honor the marker. Santino asks John Wick to kill his sister Gianna D'Antonio (Claudia Gerini) in Rome so that he can sit on the High Table of the criminal organizations. When John Wicks accomplishes his assignment, Santino puts a seven-million dollar contract on him attracting professional killers from everywhere. But Wick promises to kill Santino that is not protected by his marker anymore.""]","The Russian mafia plays a significant role in John Wick's story as they are the reason for his return to violence after retirement. After resolving issues with them, John Wick is confronted by Santino D'Antonio, who uses a marker to compel Wick to assist him, leading to further conflict and ultimately a contract being placed on Wick's life.",simple,"[{'source': 'john_wick_2.csv', 'row': 20, 'Review_Date': '28 May 2017', 'Review_Title': ' A New Franchise is Born\n', 'Review_Url': '/review/rw3718180/?ref_=tt_urv', 'Author': 'claudio_carvalho', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 27, 13, 29, 40, 364491)}]",True
1,What is the nature of the review for John Wick: Chapter 2?,[': 7\nReview: This review of John Wick: Chapter 2 is spoiler free'],The review of John Wick: Chapter 2 is spoiler free.,simple,"[{'source': 'john_wick_2.csv', 'row': 7, 'Review_Date': '17 February 2017', 'Review_Title': "" He's Bloody Back\n"", 'Review_Url': '/review/rw3641212/?ref_=tt_urv', 'Author': 'coreyjdenford', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 27, 13, 29, 40, 364479)}]",True
2,What is the role of The Marquis in the conflict involving John Wick?,"[': 1\nReview: The Table, the international crminal brotherhood which has condemned John Wick empowers The Marquis to deal with him (and the Manager of the New York Continentale Hotel). But maybe, just maybe, there is a way out.']",The Marquis is empowered by The Table to deal with John Wick and the Manager of the New York Continentale Hotel.,simple,"[{'source': 'john_wick_4.csv', 'row': 1, 'Review_Date': '30 March 2023', 'Review_Title': ' There is such a thing as too much\n', 'Review_Url': '/review/rw8960544/?ref_=tt_urv', 'Author': 'neil-476', 'Rating': 5, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 29, 13, 29, 40, 365467)}]",True
3,What role does the pulsating score play in enhancing the entertainment value of John Wick: Chapter 3 - Parabellum?,"["": 13\nReview: Following on from two deliriously entertaining, visually gorgeous and blissfully simplistic thrillers, John Wick: Chapter 3 - Parabellum keeps up the franchise's unique appeal in stunning fashion. Complete with electrifying action, beautiful cinematography, a pulsating score and a great sense of humour, the film is pretty much as purely joyful as action thrillers get, and proves two hours of brilliant entertainment.""]",The answer to given question is not present in context,simple,"[{'source': 'john_wick_3.csv', 'row': 13, 'Review_Date': '15 May 2019', 'Review_Title': ' Pure, delirious joy in the form of yet another exhilarating thriller\n', 'Review_Url': '/review/rw4855261/?ref_=tt_urv', 'Author': 'themadmovieman', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 13, 29, 40, 364916)}]",True
4,What distinguishes the fast paced action in the first John Wick film from traditional action films?,"[': 5\nReview: The first John Wick film was special because it broke a mold of sorts. It went against certain action film conventions - the hero was not a muscle bound hulk like a Schwarzenegger or Stallone, the action was super fast paced, the plot was basic and straighforward, but introduced some unique elements, and there was something a bit unique and stylish about the film. John Wick was cool.']","The fast paced action in the first John Wick film distinguishes itself from traditional action films by breaking certain conventions, featuring a hero who is not a typical muscle-bound character, and introducing unique and stylish elements, despite having a basic and straightforward plot.",simple,"[{'source': 'john_wick_3.csv', 'row': 5, 'Review_Date': '17 July 2019', 'Review_Title': ' The magic is gone\n', 'Review_Url': '/review/rw4999970/?ref_=tt_urv', 'Author': 'soundoflight', 'Rating': 5, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 13, 29, 40, 364909)}]",True
5,What are the characteristics that make 'John Wick' feel like a generic action thriller?,"[': 19\nReview: I really don\'t understand the love that ""John Wick"" receives. It\'s just kind of a generic action thriller to me. No different than a ""Bourne"" or ""Taken"" movie. It gets a slight bump for me in a rating of 6 instead of 5 because I did think that the cinematography was really good and also the fight choreography was top notch. I can definitely see the influence of martial arts films on this.']","The characteristics that make 'John Wick' feel like a generic action thriller include its similarity to other films in the genre, such as 'Bourne' or 'Taken', which suggests a lack of originality. The review describes it as just kind of a generic action thriller, indicating that it does not stand out significantly from other films of the same type.",simple,"[{'source': 'john_wick_1.csv', 'row': 19, 'Review_Date': '14 April 2023', 'Review_Title': "" I Don't Get It\n"", 'Review_Url': '/review/rw8991670/?ref_=tt_urv', 'Author': 'xiaoli7377', 'Rating': 6, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 13, 29, 40, 363969)}]",True
6,What is the criticism of computer-generated imagery in most American action films?,"["": 10\nReview: Most American action flicks released these days have poor screenplays and overuse computer-generated imagery. The John Wick franchise is one of the few exceptions, along with Mission Impossible. These franchises keep getting better with every entry. Hollywood can make action masterpieces, but Marvel has greater demand, so that's what we get most of. It's a shame.""]",The criticism of computer-generated imagery in most American action films is that it is overused and contributes to poor screenplays.,simple,"[{'source': 'john_wick_4.csv', 'row': 10, 'Review_Date': '22 March 2023', 'Review_Title': ' How Can Anyone Choose to Watch Marvel Over This?\n', 'Review_Url': '/review/rw8944843/?ref_=tt_urv', 'Author': 'lovemichaeljordan', 'Rating': 8, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 29, 13, 29, 40, 365475)}]",True
7,What themes related to consequences are explored in John Wick: Chapter 3 - Parabellum?,"["": 24\nReview: John Wick: Chapter 3 - Parabellum is quite literally about consequences, dealing with the fallout of John's actions at the end of the previous film and sending him on an even bigger odyssey of violence that continues to explore this world of assassination and deliver beautifully clean action sequences.""]","The themes related to consequences explored in John Wick: Chapter 3 - Parabellum include the fallout of John's actions from the previous film, which sends him on a larger odyssey of violence, highlighting the repercussions of his choices in the world of assassination.",simple,"[{'source': 'john_wick_3.csv', 'row': 24, 'Review_Date': '17 May 2019', 'Review_Title': ' Makes John Wick a superb trilogy\n', 'Review_Url': '/review/rw4860603/?ref_=tt_urv', 'Author': 'masonsaul', 'Rating': 10, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 13, 29, 40, 364929)}]",True
8,What role do magical jackets play in the movie?,"["": 7\nReview: In my opinion this is by far the worst movie of the franchise. It's just way too over the top. Everybody seems to have magical jackets now to stop the bullets.""]",The answer to given question is not present in context,simple,"[{'source': 'john_wick_4.csv', 'row': 7, 'Review_Date': '23 April 2023', 'Review_Title': "" I don't understand the great scores of this movie\n"", 'Review_Url': '/review/rw9011753/?ref_=tt_urv', 'Author': 'antti-eskelinen-329-929792', 'Rating': 4, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 29, 13, 29, 40, 365472)}]",True
9,What role do the action sequences play in making John Wick a remarkable film?,"["": 9\nReview: At first glance, John Wick sounds like a terrible film on paper but with the slickness of Keanu Reeves' performance as the titular character and the sheer brilliance in its action sequences, this marks the best action film of the year and one of the absolute best in the past decade. Following a brutal home invasion that leaves his beloved dog murdered by thugs from his past, John Wick vows revenge on the ones who have taken what he loves most. Like I said, on paper, this seems like a direct-to-DVD slopfest starring John Cena but as a film with Keanu Reeves as the lead, it marks the very welcomed return for Reeves to the genre. John Wick is insanely fun, violently brutal and an overall romp especially for those disappointed by The Expendables 3. John Wick is propelled by Tarantino-esque dialog mixed with the swagger of action stars from the 70s. Reeves literally emulates cool in this film and does it with such confidence, that we don't even doubt the character...even when he kills countless bad guys with extreme force in some utterly ridiculous and implausible situations. We don't doubt it for a minute. This is EXACTLY what you want out of an action film. It is briskly paced, brilliantly shot and meticulously choreographed and keeps you wanting more and more. The supporting cast filled with the likes of John Legiuzamo, Ian McShane, and Willen Dafoe also keeps this film very interesting. These guys don't play good guys, hell, John Wick by traditional standards would be a bad guy in any other film. Every character is more ruthless than the next and pushes John Wick to be more ruthless than they are, creating a very cool dynamic between the character and the plot regarding the idea of how far is too far? However, don't expect some revelation from John Wick regarding the morality of bad and evil. This film wants you entertained and does so with brute force, it never lets up, not even for a second. One scene in particular that will have your blood pumping is a showdown between thugs and Wick in a nightclub. This action sequence remains the best in the film and will have you grasping your theater seat because of the sheer intensity of it. Overall, John Wick is slick, violent fun that turns into a remarkable, surprising film that will catch you off guard. It is THAT good. I highly recommend this film to action buffs especially but I'm sure those who just like a good movie will love it as well.""]","The action sequences in John Wick are pivotal in making the film remarkable as they are brilliantly shot, meticulously choreographed, and keep the audience wanting more. They contribute to the film's brisk pacing and provide intense moments, such as the showdown in a nightclub, which is described as the best action sequence in the film and creates a gripping experience for viewers.",simple,"[{'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 13, 29, 40, 363960)}]",True
